id_cliente,ciudad,nombre,total_compras,total_productos,total_gastado,sesiones_navegacion,segmento_cliente
22,+56 9 51684052,Cliente_22,3,20,18986336,2,CLIENTE FRECUENTE
15,+56 9 16783345,Cliente_15,3,16,15851906,2,CLIENTE FRECUENTE
4,+56 9 94003564,Cliente_4,1,6,8812296,3,CLIENTE OCASIONAL
14,+56 9 68754449,Cliente_14,2,7,5053715,0,CLIENTE OCASIONAL
24,+56 9 90415169,Cliente_24,2,4,4575520,1,CLIENTE OCASIONAL
29,+56 9 84602024,Cliente_29,1,3,3858045,0,CLIENTE OCASIONAL
2,+56 9 94480436,Cliente_2,2,10,3820352,2,CLIENTE OCASIONAL
20,+56 9 72681060,Cliente_20,1,3,3687051,0,CLIENTE OCASIONAL
23,+56 9 77795814,Cliente_23,2,3,1955097,1,CLIENTE OCASIONAL
10,+56 9 15201672,Cliente_10,1,2,1804792,0,CLIENTE OCASIONAL
8,+56 9 69648209,Cliente_8,1,4,1650568,1,CLIENTE OCASIONAL
25,+56 9 69306236,Cliente_25,1,2,1516980,1,CLIENTE OCASIONAL
7,+56 9 68483826,Cliente_7,1,4,1294928,0,CLIENTE OCASIONAL
18,+56 9 27553335,Cliente_18,1,2,1010504,1,CLIENTE OCASIONAL
16,+56 9 83938648,Cliente_16,1,1,918466,1,CLIENTE OCASIONAL
5,+56 9 82994293,Cliente_5,1,1,774849,0,CLIENTE OCASIONAL
1,+56 9 16477099,Cliente_1,2,2,654703,0,CLIENTE OCASIONAL
27,+56 9 18283402,Cliente_27,1,1,585847,1,CLIENTE OCASIONAL
9,+56 9 20788629,Cliente_9,1,1,530860,0,CLIENTE OCASIONAL
13,+56 9 66110234,Cliente_13,1,2,471574,0,CLIENTE OCASIONAL
11,+56 9 88449013,Cliente_11,1,1,111093,1,CLIENTE OCASIONAL
21,+56 9 91113939,Cliente_21,0,0,0,1,PROSPECTO
12,+56 9 27912100,Cliente_12,0,0,0,1,PROSPECTO
17,+56 9 89579961,Cliente_17,0,0,0,1,PROSPECTO
19,+56 9 43192944,Cliente_19,0,0,0,3,PROSPECTO
6,+56 9 87384712,Cliente_6,0,0,0,2,PROSPECTO
26,+56 9 49244711,Cliente_26,0,0,0,3,PROSPECTO
3,+56 9 49734476,Cliente_3,0,0,0,2,PROSPECTO
28,+56 9 40234160,Cliente_28,0,0,0,0,PROSPECTO
30,+56 9 33399835,Cliente_30,0,0,0,0,PROSPECTO
