id_cliente,ciudad,total_sesiones,tiempo_promedio_sesion,paginas_visitadas,compras_realizadas,objetivo_compra_30dias,ciudad_encoded,probabilidad_compra,segmento
1,+56 9 16477099,0,307.2,0,2,1,1,0.9571666666666667,Alta
2,+56 9 94480436,2,415.5,2,2,0,29,0.0,
3,+56 9 49734476,2,514.0,2,0,0,11,0.01,Baja
4,+56 9 94003564,3,455.6666666666667,3,1,0,28,0.0,
5,+56 9 82994293,0,397.4,0,1,1,20,0.48216666666666663,Media
6,+56 9 87384712,2,363.0,2,0,0,23,0.28,Baja
7,+56 9 68483826,0,244.7,0,1,0,14,0.4105,Media
8,+56 9 69648209,1,559.0,1,1,0,17,0.1885,Baja
9,+56 9 20788629,0,191.5,0,1,1,4,0.8425,Alta
10,+56 9 15201672,0,356.7,0,1,1,0,0.9571666666666667,Alta
11,+56 9 88449013,1,388.0,1,1,0,24,0.3415000000000001,Media
12,+56 9 27912100,1,30.0,1,0,0,6,0.4016666666666666,Media
13,+56 9 66110234,0,254.9,0,1,1,13,0.4605,Media
14,+56 9 68754449,0,600.0,0,2,0,15,0.14166666666666666,Baja
15,+56 9 16783345,2,172.5,2,3,0,2,0.17333333333333337,Baja
16,+56 9 83938648,1,252.0,1,1,1,21,0.819,Alta
17,+56 9 89579961,1,252.0,1,0,1,25,0.9239999999999999,Alta
18,+56 9 27553335,1,313.0,1,1,1,5,0.7796666666666667,Alta
19,+56 9 43192944,3,271.3333333333333,2,0,0,9,0.18333333333333335,Baja
20,+56 9 72681060,0,563.3,0,1,1,18,0.6016666666666667,Media
21,+56 9 91113939,1,412.0,1,0,0,27,0.138,Baja
22,+56 9 51684052,2,284.0,2,3,0,12,0.215,Baja
23,+56 9 77795814,1,46.0,1,2,0,19,0.336,Media
24,+56 9 90415169,1,111.0,1,2,1,26,0.9059999999999999,Alta
25,+56 9 69306236,1,119.0,1,1,1,16,0.7576666666666667,Alta
26,+56 9 49244711,3,108.66666666666669,2,0,0,10,0.04,Baja
27,+56 9 18283402,1,535.0,1,1,0,3,0.08,Baja
28,+56 9 40234160,0,347.5,0,0,1,8,0.7688333333333334,Alta
29,+56 9 84602024,0,216.6,0,1,1,22,0.8825,Alta
30,+56 9 33399835,0,509.0,0,0,0,7,0.1,Baja
